,article_name,article_quality,country,population,revision_id
0,Template:ZambiaProvincialMinisters,,Zambia,17.7,235107991
1,Gladys Lundwe,Stub,Zambia,17.7,757566606
2,Mwamba Luchembe,Stub,Zambia,17.7,764848643
3,Thandiwe Banda,Start,Zambia,17.7,768166426
4,Sylvester Chisembele,C,Zambia,17.7,776082926
5,Victoria Kalima,Start,Zambia,17.7,776530837
6,Margaret Mwanakatwe,Start,Zambia,17.7,779747587
7,Nkandu Luo,Start,Zambia,17.7,779747961
8,Susan Nakazwe,Start,Zambia,17.7,779748181
9,Catherine Namugala,Start,Zambia,17.7,779748285
10,Edith Nawakwi,Start,Zambia,17.7,779748522
11,Joyce Nonde-Simukoko,Start,Zambia,17.7,779748628
12,Gladys Nyirongo,C,Zambia,17.7,779748837
13,Vera Tembo,C,Zambia,17.7,779748931
14,Ompie Nkumbula-Lieventhal,Stub,Zambia,17.7,790011468
15,Besnat Jere,Stub,Zambia,17.7,791225634
16,Esther Lungu,C,Zambia,17.7,792296625
17,Inonge Wina,Start,Zambia,17.7,794006130
18,Maureen Mwanawasa,Start,Zambia,17.7,795820299
19,First Lady of Zambia,Start,Zambia,17.7,796467991
20,Jean Kapata,Start,Zambia,17.7,797469872
21,Peter Sinkamba,Start,Zambia,17.7,799512628
22,Gwendoline Konie,Start,Zambia,17.7,803304465
23,Kenneth Kaunda,C,Zambia,17.7,805875783
24,Inonge Mbikusita-Lewanika,Start,Zambia,17.7,805993958
25,Yobert K. Shamapande,C,Zambia,17.7,806345311
26,Bir I of Kanem,Stub,Chad,15.4,355319463
27,Abdullah II of Kanem,Stub,Chad,15.4,498683267
28,Salmama II of Kanem,Stub,Chad,15.4,565745353
29,Kuri I of Kanem,Stub,Chad,15.4,565745365
30,Mohammed I of Kanem,Stub,Chad,15.4,565745375
31,Kuri II of Kanem,Stub,Chad,15.4,669719757
32,Bir II of Kanem,Stub,Chad,15.4,670893206
33,Mahamat Hissene,Stub,Chad,15.4,693055898
34,Othman I,Stub,Chad,15.4,705432607
35,Alphonse Kotiga,Stub,Chad,15.4,707593108
36,Oueddei Kichidemi,Start,Chad,15.4,708346649
37,Dunama I,Stub,Chad,15.4,710675092
38,Ahmad (Kanem-Bornu king),Stub,Chad,15.4,711388267
39,Djibrine Kerallah,Stub,Chad,15.4,712971263
40,Maurice Ngangtar,Stub,Chad,15.4,712971315
41,Idriss Miskine,Stub,Chad,15.4,712971738
42,Laoukein Kourayo Médard,Stub,Chad,15.4,716886170
43,Nadji Madou,Stub,Chad,15.4,716886788
44,Noël Milarew Odingar,Start,Chad,15.4,716891799
45,Yaya Dillo Djérou,Stub,Chad,15.4,717733209
46,Acheikh Ibn-Oumar,Start,Chad,15.4,719821590
47,Quatre Sou Quatre,Stub,Chad,15.4,720066754
48,Ali Gazi,Stub,Chad,15.4,722563340
49,Mahamat Djarma Khatir,Stub,Chad,15.4,725132042
50,Dunama IX Lefiami,Stub,Chad,15.4,731749611
51,Dawud of Kanem,Stub,Chad,15.4,736550266
52,Ahmed Koulamallah,Start,Chad,15.4,738855197
53,Abbo Nassour,B,Chad,15.4,741369486
54,Abdel Kader Baba-Laddé,Stub,Chad,15.4,742213176
55,Hummay,Stub,Chad,15.4,747271475
56,Ngarlejy Yorongar,C,Chad,15.4,751304544
57,Saleh Kezabo,Stub,Chad,15.4,751380073
58,Bourkou Louise Kabo,Start,Chad,15.4,757072468
59,Brahim Koulamallah,Stub,Chad,15.4,757802238
60,Saadie Goukouni Weddeye,Start,Chad,15.4,757842614
61,Mahamoud Adam Béchir,Start,Chad,15.4,762579466
62,Kalthouma Nguembang,Stub,Chad,15.4,762816132
63,Djidingar Dono Ngardoum,Stub,Chad,15.4,764133533
64,Template:ChadPMs,Stub,Chad,15.4,768123377
65,Template:ChadPres,Stub,Chad,15.4,770535091
66,Youssouf Saleh Abbas,B,Chad,15.4,771052289
67,Koibla Djimasta,Start,Chad,15.4,774223245
68,Nassour Guelendouksia Ouaido,C,Chad,15.4,774223248
69,Joseph Brahim Seid,Stub,Chad,15.4,777478442
70,Joseph Yodoyman,Start,Chad,15.4,777550078
71,Antoine Bangui,Start,Chad,15.4,782638002
72,Ibrahim IV of Bornu,Stub,Chad,15.4,785614014
73,Hadjé Halimé,C,Chad,15.4,786449636
74,Youssouf Togoïmi,Start,Chad,15.4,787390241
75,Adoum Younousmi,Start,Chad,15.4,787719236
76,François Tombalbaye,C,Chad,15.4,787738541
77,Ahmat Hassaballah Soubiane,Stub,Chad,15.4,787910771
78,Ahmad Allam-Mi,Start,Chad,15.4,787921293
79,Laotegguelnodji Koumtog,Stub,Chad,15.4,788009613
80,Mahamat Ali Adoum,Start,Chad,15.4,788014671
81,Mahamat Saleh Annadif,C,Chad,15.4,788658822
82,Mohamed Bechir-Sow,Stub,Chad,15.4,788827248
83,Gontchomé Sahoulba,Start,Chad,15.4,788828388
84,Gabriel Lisette,Start,Chad,15.4,788828519
85,Ali II of Bornu,Stub,Chad,15.4,788999424
86,Arabi El Goni,Stub,Chad,15.4,789126126
87,Dunama Dabbalemi,Start,Chad,15.4,789935196
88,Idris Alooma,Start,Chad,15.4,792734868
89,Mahamat Nouri,FA,Chad,15.4,792954115
90,Idriss Ndele Moussa,Stub,Chad,15.4,796654025
91,Mbaydoum Simeon,Stub,Chad,15.4,796690873
92,Ngarindo Milengar,Stub,Chad,15.4,796700718
93,List of Prime Ministers of Chad,Start,Chad,15.4,797747674
94,Idriss Déby,C,Chad,15.4,798286150
95,Saleh Kebzabo,C,Chad,15.4,798626040
96,Moussa Faki,C,Chad,15.4,799043301
97,Template:Chad-politician-stub,Stub,Chad,15.4,799373925
98,Kalzeubet Pahimi Deubet,Start,Chad,15.4,799413193
99,Haroun Kabadi,Start,Chad,15.4,799447895
100,Nagoum Yamassoum,Start,Chad,15.4,799447995
101,Outel Bono,Start,Chad,15.4,799448338
102,Ahmat Acyl,C,Chad,15.4,799902492
103,Djimrangar Dadnadji,Start,Chad,15.4,800133552
104,Delwa Kassiré Koumakoye,C,Chad,15.4,801029539
105,Fidèle Moungar,C,Chad,15.4,801192255
106,Jean Alingué Bawoyeu,B,Chad,15.4,801192303
107,Emmanuel Nadingar,C,Chad,15.4,801573576
108,Roger Djikisna,Stub,Chad,15.4,801583221
109,Firmin Djidingar,Stub,Chad,15.4,801583260
110,Idris I of Kanem,Stub,Chad,15.4,802874918
111,Vice President of Chad,Stub,Chad,15.4,803166509
112,Hissène Habré,GA,Chad,15.4,803166806
113,Negue Djogo,Start,Chad,15.4,803166989
114,Wadel Abdelkader Kamougué,C,Chad,15.4,803167152
115,Félix Malloum,Start,Chad,15.4,803167336
116,Lol Mahamat Choua,C,Chad,15.4,803167424
117,Goukouni Oueddei,C,Chad,15.4,803167990
118,Albert Pahimi Padacké,C,Chad,15.4,803433107
119,List of heads of state of Chad,Start,Chad,15.4,803812011
120,Elise Loum,Start,Chad,15.4,804773540
121,Agnes Allafi,Start,Chad,15.4,805493169
122,Christine Georges Diguibaye,Stub,Chad,15.4,806337653
123,Pascal Yoadimnadji,Start,Chad,15.4,806508985
124,Aissa Koli,Start,Chad,15.4,806616268
125,Omar I of Kanem,Start,Chad,15.4,807425129
126,Template:Zimbabwe-politician-stub,Stub,Zimbabwe,14,391862046
127,Template:Zimbabwe-mayor-stub,Stub,Zimbabwe,14,444767985
128,Jabulani Dube,Stub,Zimbabwe,14,645408814
129,Fletcher Dulini,Stub,Zimbabwe,14,669981316
130,Leopold Takawira,Start,Zimbabwe,14,710060929
131,Tinos Rusere,Start,Zimbabwe,14,710524880
132,Gift Tandare,Stub,Zimbabwe,14,710615823
133,Engelbert Rugeje,Start,Zimbabwe,14,711448400
134,Max Mnkandla,Stub,Zimbabwe,14,711509855
135,Lovemore Matombo,Stub,Zimbabwe,14,711958194
136,Alfred Nikita Mangena,Stub,Zimbabwe,14,712004487
137,Simbi Mubako,Stub,Zimbabwe,14,713121927
138,Nicholas Kiti kiti,Stub,Zimbabwe,14,713308132
139,Aleck Gumbo,Stub,Zimbabwe,14,713580662
140,Jabulani Sibanda,Start,Zimbabwe,14,713618917
141,Cain Mathema,Stub,Zimbabwe,14,713726531
142,Patrick Kombayi,Stub,Zimbabwe,14,713740128
143,Langton Towungana,Stub,Zimbabwe,14,713899377
144,Eric Matinenga,Stub,Zimbabwe,14,714455111
145,Emmanuel Chiroto,Stub,Zimbabwe,14,714535045
146,Muchadeyi Masunda,C,Zimbabwe,14,714706533
147,David Butau,Stub,Zimbabwe,14,714967769
148,Thompson Samkange,Stub,Zimbabwe,14,715131189
149,Nomalanga Khumalo,Stub,Zimbabwe,14,715183334
150,Henry Dzinotyiweyi,Stub,Zimbabwe,14,715867004
151,Edward Raradza,Stub,Zimbabwe,14,716017725
152,Rekayi Tangwena,Stub,Zimbabwe,14,716669163
153,Sibonile Nyamudeza,Stub,Zimbabwe,14,717380254
154,Misheck Kagurabadza,Stub,Zimbabwe,14,720008799
155,Morgan Femai,Stub,Zimbabwe,14,721674926
156,Bybit Lydia Tsomondo,Stub,Zimbabwe,14,723082034
157,Kisinoti Mukwazhe,Stub,Zimbabwe,14,723353282
158,David Karimanzira,Stub,Zimbabwe,14,725242133
159,Sobusa Gula-Ndebele,Stub,Zimbabwe,14,726651867
160,Sylvester Nguni,Stub,Zimbabwe,14,726686195
161,Thamsanqa Mahlangu,Stub,Zimbabwe,14,726687480
162,Tichaona Mudzingwa,Stub,Zimbabwe,14,726687648
163,Murisi Zwizwai,Stub,Zimbabwe,14,726687669
164,Samuel Undenge,Stub,Zimbabwe,14,726688144
165,Reuben Marumahoko,Stub,Zimbabwe,14,726688205
166,Simon Khaya-Moyo,Stub,Zimbabwe,14,730764918
167,"List of candidates in the Zimbabwean parliamentary election, 2013",B,Zimbabwe,14,735498335
168,Jevan Maseko,Stub,Zimbabwe,14,736911246
169,Munacho Mutezo,Stub,Zimbabwe,14,738729779
170,Sesel Zvidzai,Stub,Zimbabwe,14,738810400
171,Samuel Sipepa Nkomo,Stub,Zimbabwe,14,738992625
172,Faber Chidarikire,Start,Zimbabwe,14,738992871
173,Willard Chiwewe,Stub,Zimbabwe,14,738992910
174,Martin Dinha,Stub,Zimbabwe,14,738992918
175,Herbert Ushewokunze,Stub,Zimbabwe,14,739137894
